"IDRSSD"	FDIC Certificate Number	OCC Charter Number	OTS Docket Number	Primary ABA Routing Number	Financial Institution Name	Financial Institution Address	Financial Institution City	Financial Institution State	Financial Institution Zip Code	Financial Institution Filing Type	Last Date/Time Submission Updated On
509138	15169	0	14777	63205208	BAY BANK & TRUST CO.	509 HARRISON AVENUE 	PANAMA CITY	FL	32401	041	2005-08-08T16:16:33
509231	19794	0	17638	62006330	NEXITY BANK	3500 BLUE LAKE DRIVE SUITE 330	BIRMINGHAM	AL	35243	041	2005-08-08T16:16:33
509400	2521	12594	10336	11102133	CITIZENS NATIONAL BANK, THE	182 MAIN STREET 	PUTNAM	CT	06260	041	2005-08-08T16:16:33
509642	17355	0	0	81914678	BANK OF MODESTO	100 EAST STATE STREET 	MODESTO	IL	62667	041	2005-08-08T16:16:33
509811	2720	7030	9685	42102694	COMMUNITY TRUST BANK, NATIONAL ASSOCIATION	346 NORTH MAYO TRAIL 	PIKEVILLE	KY	41501	041	2005-08-08T16:16:33
509857	12225	0	0	81907847	FARMERS AND MERCHANTS BANK OF WRIGHT CITY	100 EAST NORTH SECOND STREET 	WRIGHT CITY	MO	63390	041	2005-08-08T16:16:33
509950	4239	0	12231	103100881	FIRST UNITED BANK AND TRUST COMPANY	1400 WEST MAIN STREET 	DURANT	OK	74701	041	2005-08-08T16:16:33
510330	16897	0	10426	61112830	FARMERS AND MERCHANTS BANK	911 EAST ROBERT TOOMBS AVENUE 	WASHINGTON	GA	306750280	041	2005-08-08T16:16:33
510460	24862	23610	0	122240340	CUYAMACA BANK, NATIONAL ASSOCIATION	9955 MISSION GORGE ROAD 	SANTEE	CA	92071	041	2005-08-08T16:16:33
510648	5283	4602	0	75901516	AMERICAN NATIONAL BANK OF BEAVER DAM, THE	115 FRONT STREET 	BEAVER DAM	WI	53916	041	2005-08-08T16:16:33
510871	30387	0	5266	221571473	FIRSTBANK PUERTO RICO	1519 PONCE DE LEON AVENUE 	SAN JUAN	PR	00908	031	2005-08-08T16:16:33
510938	3612	13838	17083	71102238	MIDAMERICA NATIONAL BANK	100 WEST ELM STREET PO BOX 310	CANTON	IL	615200310	041	2005-08-08T16:16:33
510947	10458	0	0	81218536	FARMERS STATE BANK & TRUST CO.	127-129 WEST MAIN STREET 	MOUNT STERLING	IL	62353	041	2005-08-08T16:16:33
511618	2721	0	10796	42102940	FIRST COMMONWEALTH BANK OF PRESTONSBURG, INC., THE	311 NORTH ARNOLD AVE. 	PRESTONSBURG	KY	41653	041	2005-08-08T16:16:33
511832	9168	0	12435	64105734	WAYNE COUNTY BANK	216 SOUTH HIGH STREET 	WAYNESBORO	TN	38485	041	2005-08-08T16:16:33
512839	5713	0	13324	61105672	BANK OF CHICKAMAUGA	201 GORDON STREET 	CHICKAMAUGA	GA	30707	041	2005-08-08T16:16:33
513050	24551	17816	16836	111912744	WOODHAVEN NATIONAL BANK	6750 BRIDGE ST 	FORT WORTH	TX	76124	041	2005-08-08T16:16:33
513256	3034	6030	11418	102101111	FIRST NATIONAL BANK OF LAS ANIMAS	535 BENT AVENUE 	LAS ANIMAS	CO	81054	041	2005-08-08T16:16:33
513322	26588	0	0	53201856	DARLINGTON COUNTY BANK	202 CASHUA STREET 	DARLINGTON	SC	29532	041	2005-08-08T16:16:33
513340	18584	0	13502	72403554	COMMERCIAL BANK	301 NORTH STATE STREET 	ALMA	MI	48801	041	2005-08-08T16:16:33
513546	3821	8221	0	81906275	FARMERS AND MERCHANTS NATIONAL BANK OF NASHVILLE, THE	101 WEST ST. LOUIS STREET 	NASHVILLE	IL	62263	041	2005-08-08T16:16:33
513854	12757	0	14420	103109390	FIRST STATE BANK	106 DALTON AVENUE 	VALLIANT	OK	74764	041	2005-08-08T16:16:33
513920	9860	0	0	41210370	MARBLEHEAD BANK, THE	709 W MAIN ST 	MARBLEHEAD	OH	43440	041	2005-08-08T16:16:33
513957	12692	0	15725	101111319	MONTEZUMA STATE BANK, THE	209 NORTH AZTEC 	MONTEZUMA	KS	67867	041	2005-08-08T16:16:33
514048	5635	0	11214	82904726	BANK OF EUREKA SPRINGS	70 SOUTH MAIN STREET 	EUREKA SPRINGS	AR	72632	041	2005-08-08T16:16:33
514057	16516	0	0	104113712	NEBRASKA STATE BANK	4TH AND HOFFMAN 	LYNCH	NE	68746	041	2005-08-08T16:16:33
514066	21956	0	12016	122234783	MONTECITO BANK & TRUST	1000 STATE STREET 	SANTA BARBARA	CA	93101	041	2005-08-08T16:16:33
514132	324	0	12223	65304385	CITIZENS BANK	814 MAIN STREET 	COLUMBIA	MS	39429	041	2005-08-08T16:16:33
514253	2382	0	0	84303309	BANK OF BRADFORD, THE	133 EAST MAIN STREET 	BRADFORD	TN	38316	041	2005-08-08T16:16:33
514356	399	0	16690	103103503	FIRST STATE BANK, THE	6TH AND WASHINGTON 	RYAN	OK	73565	041	2005-08-08T16:16:33
514440	1757	15504	10449	82903219	FIRST NATIONAL BANK OF CROSSETT	218 MAIN STREET 	CROSSETT	AR	716352926	041	2005-08-08T16:16:33
514655	3206	10420	0	113115484	TEXAS GULF BANK, NATIONAL ASSOCIATION	200 WEST SECOND STREET 	FREEPORT	TX	77541	041	2005-08-08T16:16:33
514909	17942	0	1277	211170185	SAVINGS BANK OF MANCHESTER, THE	923 MAIN STREET 	MANCHESTER	CT	06040	041	2005-08-08T16:16:33
514936	22138	0	11806	61102662	RABUN COUNTY BANK	RICKSON STREET 	CLAYTON	GA	30525	041	2005-08-08T16:16:33
515054	16511	0	0	84000929	TRI-STATE BANK OF MEMPHIS	180 SOUTH MAIN STREET 	MEMPHIS	TN	38101	041	2005-08-08T16:16:33
515250	4174	8313	0	103101880	FIRST NATIONAL BANK IN PAWHUSKA	100 WEST MAIN STREET 	PAWHUSKA	OK	74056	041	2005-08-08T16:16:33
515353	3036	11504	52234	102103708	HORIZON BANKS, NATIONAL ASSOCIATION	790 MAIN STREET 	LIMON	CO	80828	041	2005-08-08T16:16:33
516042	13246	0	0	71904478	HARRIS BANK ST. CHARLES	ONE EAST MAIN 	SAINT CHARLES	IL	60174	041	2005-08-08T16:16:33
516154	14275	0	14396	104908082	FARMERS AND MERCHANTS BANK	501 MAIN STREET 	MILLIGAN	NE	68406	041	2005-08-08T16:16:33
516305	614	0	0	21302978	SBU MUNICIPAL BANK	233 GENESEE STREET 	UTICA	NY	13502	041	2005-08-08T16:16:33
516855	4178	0	16858	103102216	SECURITY BANK	551 HARRISON STREET 	PAWNEE	OK	74058	041	2005-08-08T16:16:33
517049	5615	0	10237	82907008	CHAMBERS BANK	901 MAIN STREET 	DANVILLE	AR	72833	041	2005-08-08T16:16:33
517348	10512	0	10731	83903881	GREENSBURG DEPOSIT BANK & TRUST COMPANY	102-104 NORTH PUBLIC SQUARE 	GREENSBURG	KY	42743	041	2005-08-08T16:16:33
517357	14899	0	13117	103101877	NBC BANK	EIGHT AND KIHEKAH STREET 	PAWHUSKA	OK	74056	041	2005-08-08T16:16:33
517423	11583	0	0	51000127	CONSOLIDATED BANK AND TRUST COMPANY	320 NORTH FIRST STREET 	RICHMOND	VA	23219	041	2005-08-08T16:16:33
517441	2455	0	14788	75903242	BANK OF BRODHEAD, THE	806 EAST EXCHANGE STREET 	BRODHEAD	WI	53520	041	2005-08-08T16:16:33
517834	11444	0	13836	65301566	COMMUNITY BANK, ELLISVILLE, MISSISSIPPI	300 W. JESSAMINE STREET 	ELLISVILLE	MS	39437	041	2005-08-08T16:16:33
518037	21292	0	15773	61202371	PEOPLES COMMUNITY BANK	203 CRAWFORD STREET 	COLQUITT	GA	31737	041	2005-08-08T16:16:33
518073	32362	0	8185	253170525	GIBSONVILLE COMMUNITY BANK	220 BURLINGTON STREET 	GIBSONVILLE	NC	27249	041	2005-08-08T16:16:33
518279	21672	0	16659	125107008	HARBOR COMMUNITY BANK	221 COMMERCIAL STREET 	RAYMOND	WA	98577	041	2005-08-08T16:16:33
518354	13054	0	13185	91805609	PARK BANK	1200 MAIN STREET 	HOLMEN	WI	54636	041	2005-08-08T16:16:33
518840	4342	10718	17014	74910728	FIRST NATIONAL BANK OF FREMONT, THE	106 EAST TOLEDO 	FREMONT	IN	46737	041	2005-08-08T16:16:33
518952	11636	13891	11958	103102041	HOME NATIONAL BANK	1350 W. DOOLIN 	BLACKWELL	OK	74631	041	2005-08-08T16:16:33
519146	21805	0	11699	82901460	FIRST STATE BANK OF DEQUEEN	402 WEST COLLIN RAYE DRIVE 	DEQUEEN	AR	71832	041	2005-08-08T16:16:33
519267	11568	0	13951	114912848	SANDERSON STATE BANK	216 W. OAK STREET 	SANDERSON	TX	79848	041	2005-08-08T16:16:33
519360	23749	17176	14614	121038773	MISSION NATIONAL BANK	3060 16TH STREET 	SAN FRANCISCO	CA	94103	041	2005-08-08T16:16:33
519445	1562	0	10019	83905083	PEOPLES BANK	265 OLD SPRINGFIELD ROAD 	LEBANON	KY	40033	041	2005-08-08T16:16:33
519874	8681	0	0	125102676	LAMONT BANK OF ST. JOHN	EAST 6TH FRONT STREET 	SAINT JOHN	WA	99171	041	2005-08-08T16:16:33
520003	14140	0	8416	211672683	NORTHFIELD SAVINGS BANK	12-20 MAIN STREET 	NORTHFIELD	VT	05663	041	2005-08-08T16:16:33
520423	2068	0	0	44101745	FAHEY BANKING COMPANY, THE	127 N MAIN ST 	MARION	OH	433023029	041	2005-08-08T16:16:33
520777	28841	0	2470	271070681	COMMUNITY SAVINGS BANK	4801 WEST BELMONT AVENUE 	CHICAGO	IL	60641	041	2005-08-08T16:16:33
521064	5520	13854	0	111305746	SANTA ANNA NATIONAL BANK, THE	618 WALLIS AV 	SANTA ANNA	TX	76878	041	2005-08-08T16:16:33
521158	13919	14012	17485	114917908	FIRST NATIONAL BANK	601 GUADALUPE 	GEORGE WEST	TX	78022	041	2005-08-08T16:16:33
521251	4180	0	10778	103105116	FIRST STATE BANK OF PORTER	100 MAIN STREET PO BOX 89	PORTER	OK	74454	041	2005-08-08T16:16:33
521550	22304	0	11506	111007073	LONE STAR BANK	6310 LEMMON AVE., SUITE 100 	DALLAS	TX	75209	041	2005-08-08T16:16:33
521608	6281	2274	12754	11601171	RANDOLPH NATIONAL BANK	MAIN STREET 	RANDOLPH	VT	05060	041	2005-08-08T16:16:33
521756	9525	0	14613	91810856	RURAL AMERICAN BANK - LUCK	206 SOUTH MAIN STREET 	LUCK	WI	54853	041	2005-08-08T16:16:33
521804	7153	13121	0	21911398	MAHOPAC NATIONAL BANK, THE	630 ROUTE 6 	MAHOPAC	NY	10541	041	2005-08-08T16:16:33
521952	4204	12095	11047	103110392	STROUD NATIONAL BANK	300 WEST MAIN STREET 	STROUD	OK	74079	041	2005-08-08T16:16:33
522034	17975	0	17176	62106120	COMMERCIAL BANK OF OZARK, THE	208 SOUTH MERRICK AVENUE 	OZARK	AL	36360	041	2005-08-08T16:16:33
522043	9257	0	0	71915797	FARMERS & TRADERS STATE BANK	204 WEST COMANCHE P O BOX 313	SHABBONA	IL	60550	041	2005-08-08T16:16:33
522146	13304	0	14898	82903439	ARKANSAS DIAMOND BANK	BROADWAY AND PULLIAM STREETS 	GLENWOOD	AR	71943	041	2005-08-08T16:16:33
522454	22448	0	0	103102193	FIRST STATE BANK	1111 SOUTH MUSKOGEE 	TAHLEQUAH	OK	74464	041	2005-08-08T16:16:33
522557	18531	0	11536	101014733	METCALF BANK	7840 METCALF 	OVERLAND PARK	KS	66204	041	2005-08-08T16:16:33
522605	11971	0	9261	11201759	BAR HARBOR BANKING AND TRUST COMPANY	82 MAIN STREET 	BAR HARBOR	ME	04619	041	2005-08-08T16:16:33
522669	17094	0	0	111922776	HOMEBANK	601 HIGHWAY 175 	SEAGOVILLE	TX	751590909	041	2005-08-08T16:16:33
522753	15669	0	17208	111906747	MILLS COUNTY STATE BANK	1017 PARKER 	GOLDTHWAITE	TX	76844	041	2005-08-08T16:16:33
522847	9314	0	12848	83903894	CENTRAL BANK USA, INC., THE	202 NORTH MAIN STREET 	GREENSBURG	KY	42743	041	2005-08-08T16:16:33
522856	24342	17610	0	103102821	CENTURY NATIONAL BANK OF OKLAHOMA	1913 SOUTH ELLIOTT 	PRYOR	OK	74361	041	2005-08-08T16:16:33
522959	90528	0	14896	302173732	MONTROSEBANK	200 NORTH TOWNSEND AVENUE 	MONTROSE	CO	81401	041	2005-08-08T16:16:33
523152	10320	0	9802	84304421	OAKLAND DEPOSIT BANK	MAIN STREET 	OAKLAND	TN	38060	041	2005-08-08T16:16:33
523161	17214	0	12889	113104275	CITIZENS STATE BANK	222 MAIN STREET 	SEALY	TX	77474	041	2005-08-08T16:16:33
523648	16569	0	0	71922188	SHERIDAN STATE BANK	130 WEST MAIN STREET 	SHERIDAN	IL	60551	041	2005-08-08T16:16:33
523714	7334	1264	0	21308817	NATIONAL BANK OF VERNON, THE	5238 W. SENECA STREET P.O. BOX 890	VERNON	NY	13476	041	2005-08-08T16:16:33
523808	4247	3941	10410	11201762	FIRST NATIONAL BANK OF BAR HARBOR	102 MAIN STREET PO BOX 258	BAR HARBOR	ME	04609	041	2005-08-08T16:16:33
523974	32327	0	8148	252071706	SAINT CASIMIRS SAVINGS BANK	2703 FOSTER AVENUE 	BALTIMORE	MD	21224	041	2005-08-08T16:16:33
524252	11024	0	0	104106088	FARMERS BANK, THE	7TH & GRAND 	OCONTO	NE	68860	041	2005-08-08T16:16:33
524579	29657	0	3836	275971906	GREAT MIDWEST BANK, STATE SAVINGS BANK	15900 WEST BLUE MOUND ROAD 	BROOKFIELD	WI	53005	041	2005-08-08T16:16:33
524757	8661	0	12373	84303008	FARMERS BANK	29 EAST MAIN STREET 	PARSONS	TN	38363	041	2005-08-08T16:16:33
524766	18301	0	0	111323689	FIRST STATE BANK	ONE COMMERCE PARK 	SHALLOWATER	TX	79363	041	2005-08-08T16:16:33
524953	4185	0	15705	103102627	FIRST PRYORITY BANK	310 EAST GRAHAM 	PRYOR	OK	74361	041	2005-08-08T16:16:33
525053	4211	11397	12990	103111252	FIRST NATIONAL BANK OF OKLAHOMA	1324 EAST GRAND 	PONCA CITY	OK	74601	041	2005-08-08T16:16:33
525156	1364	0	16392	101101785	CITIZENS STATE BANK	3-5 EAST WEA 	PAOLA	KS	66071	041	2005-08-08T16:16:33
525352	22040	0	0	111906624	GRAND BANK OF TEXAS	2341 SOUTH BELTLINE ROAD 	GRAND PRAIRIE	TX	750514198	041	2005-08-08T16:16:33
525446	14102	0	8982	83903454	FARMERS BANK, THE	1119 U.S. HIGHWAY 60 EAST 	HARDINSBURG	KY	40143	041	2005-08-08T16:16:33
525455	11865	0	0	103108621	BANK OF QUAPAW, THE	338 MAIN STREET 	QUAPAW	OK	74363	041	2005-08-08T16:16:33
525549	15091	0	9868	75904953	STATE BANK OF CROSS PLAINS	1205 MAIN STREET BOX 218	CROSS PLAINS	WI	53528	041	2005-08-08T16:16:33
525950	9002	0	17395	91407612	PEOPLES STATE BANK	212 CALUMET AVENUE 	DE SMET	SD	57231	041	2005-08-08T16:16:33
526135	2127	7431	12126	61102552	NBANK, NATIONAL ASSOCIATION	1731 NORTH ELM STREET 	COMMERCE	GA	30529	041	2005-08-08T16:16:33
526229	12884	0	17639	55000657	WESTMINSTER UNION BANK	117 E. MAIN STREET 	WESTMINSTER	MD	21157	041	2005-08-08T16:16:33
526452	1673	0	0	91404466	1ST FINANCIAL BANK USA	331 NORTH DAKOTA DUNES BOULEVARD 	DAKOTA DUNES	SD	57049	041	2005-08-08T16:16:33
526519	8426	0	10595	31316815	1ST SUMMIT BANK	125 DONALD LANE 	JOHNSTOWN	PA	15904	041	2005-08-08T16:16:33
526706	6247	2587	9255	11701288	PEMIGEWASSET NATIONAL BANK OF PLYMOUTH, THE	287 HIGHLAND STREET 	PLYMOUTH	NH	03264	041	2005-08-08T16:16:33
526751	17955	0	14026	101103220	PEABODY STATE BANK	201 NORTH WALNUT 	PEABODY	KS	66866	041	2005-08-08T16:16:33
526854	20993	0	9903	84302300	HARDIN COUNTY BANK, THE	235 WAYNE ROAD 	SAVANNAH	TN	38372	041	2005-08-08T16:16:33
527057	14604	0	0	81511990	COMMUNITY BANK OF RUSSELLVILLE	13218 RAILROAD AVENUE 	RUSSELLVILLE	MO	65074	041	2005-08-08T16:16:33
527459	11910	0	16514	113110780	FIRST STATE BANK	911 NORTH 287 -- 19 BYPASS 	GRAPELAND	TX	75844	041	2005-08-08T16:16:33
527507	26390	0	12877	21206582	ATLANTIC STEWARDSHIP BANK	630 GODWIN AVENUE 	MIDLAND PARK	NJ	07432	041	2005-08-08T16:16:33
527600	90259	0	10965	211371463	NORTH EASTON SAVINGS BANK	295 MAIN STREET 	NORTH EASTON	MA	02356	041	2005-08-08T16:16:33
527730	11293	0	12294	61208126	BANK OF THOMAS COUNTY	2484 EAST PINETREE BLVD 	THOMASVILLE	GA	31792	041	2005-08-08T16:16:33
527749	18448	0	0	73908359	SECURITY STATE BANK	207 ISABELLE STREET 	RADCLIFFE	IA	50230	041	2005-08-08T16:16:33
527954	5452	209	16015	104000016	FIRST NATIONAL BANK OF OMAHA	1620 DODGE STREET 	OMAHA	NE	68197	041	2005-10-26T15:20:11
528102	90258	0	12044	211374091	NORTH BROOKFIELD SAVINGS BANK	SUMMER STREET 	NORTH BROOKFIELD	MA	01535	041	2005-08-08T16:16:33
528241	15405	0	17256	73901990	HOUGHTON STATE BANK	116 COOLBAUGH STREET P O BOX 373	RED OAK	IA	51566	041	2005-08-08T16:16:33
528568	24960	24380	0	122105249	HARRIS BANK NATIONAL ASSOCIATION, THE	6720 NORTH SCOTTSDALE ROAD, SUITE 111 	SCOTTSDALE	AZ	85253	041	2005-08-08T16:16:33
528616	463	0	0	31300135	PENN SECURITY BANK AND TRUST COMPANY	150 NORTH WASHINGTON AVENUE 	SCRANTON	PA	18510	041	2005-08-08T16:16:33
528746	8770	0	11344	83905708	CITIZENS BANK	460 HIGHWAY 227 	NEW LIBERTY	KY	40355	041	2005-08-08T16:16:33
528849	11236	0	11580	75905622	HORICON STATE BANK	326 EAST LAKE STREET PO BOX 144	HORICON	WI	53032	041	2005-08-08T16:16:33
528858	10925	0	17469	101114400	PLAINVILLE STATE BANK, THE	201 SOUTH MAIN STREET 	PLAINVILLE	KS	67663	041	2005-08-08T16:16:33
528960	24563	17826	0	114011011	SOMERSET NATIONAL BANK	HIGHWAY 1604 & OLD SOMERSET ROAD 	SOMERSET	TX	78069	041	2005-08-08T16:16:33
529172	31966	0	7664	307087661	SECURITY FIRST BANK	508 WEST 18TH STREET 	CHEYENNE	WY	82001	041	2005-08-08T16:16:33
529341	12514	0	12974	75909408	IXONIA STATE BANK	WEST 1195 MARIETTA AVENUE P O BOX 110	IXONIA	WI	53036	041	2005-08-08T16:16:33
529453	2374	0	9063	84304667	BANK OF SHARON, THE	142 EAST MAIN STREET 	SHARON	TN	38255	041	2005-08-08T16:16:33
529659	5472	13431	10809	104901348	CATTLE NATIONAL BANK & TRUST COMPANY,THE	104 SOUTH 5TH STREET 	SEWARD	NE	68434	041	2005-08-08T16:16:33
529846	4498	0	15729	73907198	FIRST STATE BANK	109 WOODLAND AVENUE 	RICEVILLE	IA	50466	041	2005-08-08T16:16:33
529855	8665	0	9870	84304793	MERCHANTS & PLANTERS BANK	35 KILGORE DRIVE 	TOONE	TN	38381	041	2005-08-08T16:16:33
529958	23647	0	12248	111010170	TIB THE INDEPENDENT BANKERSBANK	350 PHELPS COURT 	IRVING	TX	750386533	041	2005-08-08T16:16:33
530655	1147	0	10659	101101659	PEOPLES BANK, THE	222 SOUTH MAIN STREET 	PRATT	KS	67124	041	2005-08-08T16:16:33
530703	20931	0	9758	11200585	DAMARISCOTTA BANK & TRUST CO.	25 MAIN STREET PO BOX 999	DAMARISCOTTA	ME	04543	041	2005-08-08T16:16:33
530851	10719	0	0	113121384	PEOPLES STATE BANK OF HALLETTSVILLE	E. 3RD & N. LAGRANGE 	HALLETTSVILLE	TX	77964	041	2005-08-08T16:16:33
530954	8600	0	16394	104913051	FIRST STATE BANK	119 C STREET 	SHELTON	NE	68876	041	2005-08-08T16:16:33
531157	23099	0	0	101103084	BANK OF PROTECTION, THE	302 NORTH BROADWAY 	PROTECTION	KS	67127	041	2005-08-08T16:16:33
531250	8439	0	10838	84302698	FARMER'S AND MERCHANTS BANK	110 FRONT STREET 	TREZEVANT	TN	38258	041	2005-08-08T16:16:33
531353	3242	11800	14354	111919802	FIRST NATIONAL BANK OF HAMILTON	200 S. BELL 	HAMILTON	TX	76531	041	2005-08-08T16:16:33
532042	13454	0	12530	75903116	ROYAL BANK	202 MAIN STREET 	ELROY	WI	53929	041	2005-08-08T16:16:33
532453	15593	0	0	91408792	IPSWICH STATE BANK	301 1ST AVENUE 	IPSWICH	SD	57451	041	2005-08-08T16:16:33
532752	16120	0	0	101106609	RILEY STATE BANK OF RILEY KANSAS, THE	201 SOUTH BROADWAY 	RILEY	KS	66531	041	2005-08-08T16:16:33
532864	11573	0	0	111903575	STEPHENVILLE BANK AND TRUST CO.	2201 SOUTH LOOP 	STEPHENVILLE	TX	76401	041	2005-08-08T16:16:33
533124	24015	0	10119	52001772	HARBOR BANK OF MARYLAND, THE	25 WEST FAYETTE STREET 	BALTIMORE	MD	21201	041	2005-08-08T16:16:33
533227	16167	0	12956	41213872	METAMORA STATE BANK, THE	120 E MAIN ST 	METAMORA	OH	43540	041	2005-08-08T16:16:33
533535	2784	0	16462	62202163	FIRST BANK OF BOAZ	124 S. MAIN STREET 	BOAZ	AL	35957	041	2005-08-08T16:16:33
533740	15575	0	15859	73921611	ROLFE STATE BANK	316 GARFIELD P O BOX 101	ROLFE	IA	50581	041	2005-08-08T16:16:33
533759	32436	0	16887	91101141	NORTHERN MICHIGAN BANK & TRUST	723 LUDINGTON STREET 	ESCANABA	MI	49829	041	2005-08-08T16:16:33
533852	21674	24082	17457	111014325	BANK OF TEXAS, NATIONAL ASSOCIATION	6215 HILLCREST AVE 	DALLAS	TX	75205	041	2005-08-08T16:16:33
533928	2291	0	13326	41205259	COMMERCIAL SAVINGS BANK, THE	118 S SANDUSKY 	UPPER SANDUSKY	OH	43351	041	2005-08-08T16:16:33
533937	22476	0	10955	71002095	COMMUNITY BANK OF LAWNDALE	1111 SOUTH HOMAN AVENUE 	CHICAGO	IL	60624	041	2005-08-08T16:16:33
533955	10636	0	0	104103285	COMMERCIAL BANK	541 GATE STREET 	BLUE HILL	NE	68930	041	2005-08-08T16:16:33
534055	13891	0	0	104103683	SPALDING CITY BANK	ST. JOSEPH STREET 	SPALDING	NE	68665	041	2005-08-08T16:16:33
534158	3058	11640	13355	107003667	FIRST NATIONAL BANK OF STRASBURG, THE	56540 EAST COLFAX AVENUE 	STRASBURG	CO	80136	041	2005-08-08T16:16:33
534242	13931	0	0	73908511	STATE BANK OF SCHALLER	MAIN STREET P O BOX 69	SCHALLER	IA	51053	041	2005-08-08T16:16:33
534345	10036	13872	15738	71904517	NATIONAL BANK & TRUST COMPANY OF SYCAMORE, THE	230 WEST STATE STREET 	SYCAMORE	IL	60178	041	2005-08-08T16:16:33
534466	25869	0	8804	121141343	METROPOLITAN BANK	250 EAST 18TH STREET 	OAKLAND	CA	94606	041	2005-08-08T16:16:33
534653	1067	0	12518	81000524	BREMEN BANK AND TRUST COMPANY	3529 NORTH BROADWAY 	SAINT LOUIS	MO	63147	041	2005-08-08T16:16:33
534756	402	0	13492	103109015	SOONER STATE BANK	2 SOUTHEAST FOURTH 	TUTTLE	OK	73089	041	2005-08-08T16:16:33
534859	14556	0	17184	101111681	EXCHANGE STATE BANK	5TH AND JEFFERSON 	SAINT PAUL	KS	66771	041	2005-08-08T16:16:33
534877	27943	0	587	243373112	BRENTWOOD BANK	411 MCMURRAY ROAD 	BETHEL PARK	PA	15102	041	2005-08-08T16:16:33
535034	307	0	17112	65201624	CLINTON BANK & TRUST COMPANY	12225 ST. HELENA STREET 	CLINTON	LA	70722	041	2005-08-08T16:16:33
535258	17967	0	16175	103109031	BANK OF UNION, THE	205 NORTH MAIN ST 	UNION CITY	OK	73090	041	2005-08-08T16:16:33
535351	4765	3467	16884	101102771	FIRST NATIONAL BANK AND TRUST	216 NORTH MAIN 	SAINT JOHN	KS	67576	041	2005-08-08T16:16:33
535463	16653	14598	0	111322570	FIRST NATIONAL BANK, SWEETWATER, TEXAS	201 ELM STREET 	SWEETWATER	TX	79556	041	2005-08-08T16:16:33
535548	13933	0	14646	73913425	GIBSON SAVINGS BANK	106 SOUTH MARSHALL P O BOX 165	GIBSON	IA	50104	041	2005-08-08T16:16:33
535641	1051	0	0	83903195	CITIZENS BANK	230 MAIN STREET 	HARTFORD	KY	42347	041	2005-08-08T16:16:33
535753	19600	15592	0	107001481	AIR ACADEMY NATIONAL BANK	5122 COMMUNITY CENTER 	USAF ACADEMY	CO	80840	041	2005-08-08T16:16:33
535847	8102	0	13761	73920913	SECURITY STATE BANK OF SHELDON	934 3RD P O BOX 70	SHELDON	IA	51201	041	2005-08-08T16:16:33
535856	8314	0	16902	92902446	BASIN STATE BANK	103 CENTRAL AVE. 	STANFORD	MT	59479	041	2005-08-08T16:16:33
535931	16396	0	0	63105515	LAFAYETTE STATE BANK	MAIN STREET 	MAYO	FL	32066	041	2005-08-08T16:16:33
535940	12386	0	15246	71107987	STATE BANK OF TOULON	102 WEST MAIN 	TOULON	IL	61483	041	2005-08-08T16:16:33
536059	26223	18558	0	113015500	TEXAS FIRST NATIONAL BANK	9315 BELLAIRE BOULEVARD 	HOUSTON	TX	77036	041	2005-08-08T16:16:33
536219	7307	0	0	22000868	CITIBANK (NEW YORK STATE)	99 GARNSEY ROAD 	PITTSFORD	NY	14534	041	2005-08-08T16:16:33
536349	1553	0	0	73903396	SHELBY COUNTY STATE BANK	508 COURT P O BOX 29	HARLAN	IA	51537	041	2005-08-08T16:16:33
536358	11016	0	13131	92902352	FIRST STATE BANK	107 SOUTH FULTON 	THOMPSON FALLS	MT	59873	041	2005-08-08T16:16:33
536479	30600	0	5616	271071017	LINCOLN PARK SAVINGS BANK	1946 WEST IRVING PARK ROAD 	CHICAGO	IL	606130000	041	2005-08-08T16:16:33
536527	14679	22850	14829	54000959	INDUSTRIAL BANK, NATIONAL ASSOCIATION	1900 JOHN HANSON LANE 	OXON HILL	MD	20745	041	2005-08-08T16:16:33
536554	17478	0	0	104113851	KIMBALL COUNTY BANK	2ND AND ELM 	BUSHNELL	NE	69128	041	2005-08-08T16:16:33
536853	14260	0	0	103103121	WALTERS BANK AND TRUST COMPANY	201 NORTH BROADWAY 	WALTERS	OK	73572	041	2005-08-08T16:16:33
537038	17713	0	13470	71922764	DURAND STATE BANK	115 CENTER STREET P O BOX 305	DURAND	IL	61024	041	2005-08-08T16:16:33
537065	21017	0	0	122232196	OJAI VALLEY BANK	1207 MARICOPA ROAD 	OJAI	CA	93023	041	2005-08-08T16:16:33
537243	5797	0	16414	73918569	FARMERS STATE BANK	99 NORTH 7TH STREET P O BOX 101	NORTHWOOD	IA	50459	041	2005-08-08T16:16:33
537355	2318	0	0	103112329	WATONGA STATE BANK	115 WEST A 	WATONGA	OK	73772	041	2005-08-08T16:16:33
537449	15229	0	10824	75905787	FIRST BUSINESS BANK	401 CHARMANY DRIVE 	MADISON	WI	53719	041	2005-08-08T16:16:33
537458	17636	0	17089	101111115	SCANDIA STATE BANK OF SCANDIA, KS	323 4TH STREET 	SCANDIA	KS	66966	041	2005-08-08T16:16:33
537551	11821	0	17491	92904761	LITTLE HORN STATE BANK	317 NORTH CUSTER AVENUE PO BOX 530	HARDIN	MT	59034	041	2005-08-08T16:16:33
537560	5551	13778	16354	111900581	EXTRACO BANKS, NATIONAL ASSOCIATION	18 S MAIN ST 	TEMPLE	TX	76501	041	2005-08-08T16:16:33
